iso,YEAR,MONTH,segment,nb_flights,co2_t,co2_per_flight
EE,2019,3,lowcost,4318,5485.2,1.2703103288559519
EE,2019,3,mainline,10181,52625.60000000001,5.169001080443966
EE,2019,3,other,2644,2865.0,1.0835854765506807
EE,2019,3,regional,7030,4929.4,0.7011948790896159
EE,2019,4,business,800,532.9000000000001,0.6661250000000001
EE,2019,4,cargo,1256,7781.0,6.195063694267516
EE,2019,4,lowcost,7130,6150.899999999999,0.8626788218793827
EE,2019,4,mainline,11158,53535.40000000003,4.7979386986915245
EE,2019,4,other,2904,3484.999999999999,1.2000688705234157
EE,2019,4,regional,6896,4571.7,0.662949535962877
EE,2019,5,business,1466,646.0000000000001,0.44065484311050485
EE,2019,5,cargo,1196,7275.4000000000015,6.083110367892978
EE,2019,5,lowcost,5438,6414.100000000002,1.179496138286135
EE,2019,5,mainline,12239,55152.900000000045,4.5063240460822
EE,2019,5,other,4417,4925.799999999997,1.1151913063165038
EE,2019,5,regional,7253,5101.500000000001,0.7033641251895768
EE,2019,6,business,1531,1067.6000000000001,0.6973220117570217
EE,2019,6,cargo,1125,6839.699999999997,6.079733333333331
EE,2019,6,lowcost,5821,6933.9000000000015,1.191187081257516
EE,2019,6,mainline,23849,56799.09999999994,2.3816134848421293
EE,2019,6,other,5356,4897.599999999997,0.914413741598207
EE,2019,6,regional,10446,5195.800000000001,0.4973961324909057
EE,2019,7,business,1647,713.2,0.433029751062538
EE,2019,7,cargo,1289,7870.199999999999,6.105663304887509
EE,2019,7,lowcost,7835,6654.4,0.8493171665603063
EE,2019,7,mainline,24172,58634.70000000005,2.425728115174584
EE,2019,7,other,4235,4958.100000000001,1.1707438016528928
EE,2019,7,regional,10293,4964.499999999999,0.48231808024871264
EE,2019,8,business,994,614.5999999999997,0.6183098591549293
EE,2019,8,cargo,1144,6713.999999999998,5.868881118881117
EE,2019,8,lowcost,5774,6706.900000000004,1.1615691028749575
EE,2019,8,mainline,12291,56373.69999999997,4.5865836791147965
EE,2019,8,other,5239,4738.700000000001,0.9045046764649743
EE,2019,8,regional,10564,5320.700000000002,0.5036633850814087
EE,2019,9,business,954,651.6999999999999,0.6831236897274633
EE,2019,9,cargo,1172,7027.700000000004,5.996331058020481
EE,2019,9,lowcost,5547,6493.0,1.1705426356589148
EE,2019,9,mainline,22102,52887.700000000055,2.392892045968693
EE,2019,9,other,5382,5251.000000000001,0.9756596060943888
EE,2019,9,regional,7349,5234.8,0.7123146006259355
EE,2019,10,business,916,646.8000000000002,0.7061135371179041
EE,2019,10,cargo,1224,6963.299999999999,5.688970588235294
EE,2019,10,lowcost,5737,6806.2,1.1863691824995641
EE,2019,10,mainline,20611,48521.40000000005,2.354150696230171
EE,2019,10,other,4413,4404.799999999998,0.998141853614321
EE,2019,10,regional,8091,5269.099999999999,0.6512297614633543
EE,2019,11,business,1612,619.3000000000001,0.384181141439206
EE,2019,11,cargo,1356,8367.799999999997,6.170943952802358
EE,2019,11,lowcost,4400,5221.4000000000015,1.1866818181818186
EE,2019,11,mainline,9199,43196.800000000076,4.69581476247419
EE,2019,11,other,2107,2558.3000000000006,1.2141907925961084
EE,2019,11,regional,8422,4223.400000000001,0.5014723343623843
EE,2019,12,business,1050,501.49999999999994,0.47761904761904755
EE,2019,12,cargo,1205,7331.300000000001,6.084066390041495
EE,2019,12,lowcost,4755,6134.699999999997,1.290157728706624
EE,2019,12,mainline,26685,44753.700000000084,1.6771107363687496
EE,2019,12,other,2045,2630.8999999999996,1.2865036674816623
EE,2019,12,regional,5749,4023.6,0.6998782396938598
EE,2020,1,business,688,520.5000000000003,0.7565406976744191
EE,2020,1,cargo,1098,5947.899999999999,5.4170309653916195
EE,2020,1,lowcost,4549,5922.300000000001,1.3018905253901958
EE,2020,1,mainline,9153,42579.299999999996,4.651950180268764
EE,2020,1,other,1565,2279.2999999999993,1.456421725239616
EE,2020,1,regional,5960,4166.2,0.6990268456375839
EE,2020,2,business,659,431.5999999999999,0.6549317147192715
EE,2020,2,cargo,949,5396.800000000001,5.686828240252899
EE,2020,2,lowcost,7001,5527.5,0.7895300671332667
EE,2020,2,mainline,7554,33544.69999999998,4.4406539581678555
EE,2020,2,other,2008,2251.0000000000005,1.1210159362549803
EE,2020,2,regional,5736,3892.4,0.6785913528591353
EE,2020,3,business,851,497.6,0.5847238542890717
EE,2020,3,cargo,1333,8190.300000000003,6.144261065266319
EE,2020,3,lowcost,2708,3745.499999999998,1.3831240768094528
EE,2020,3,mainline,9523,22878.699999999964,2.4024677097553253
EE,2020,3,other,1997,2705.8000000000006,1.3549323985978972
EE,2020,3,regional,3362,2274.9,0.6766508030933969
EE,2020,4,business,478,149.60000000000002,0.31297071129707116
EE,2020,4,cargo,1488,9810.100000000004,6.592809139784949
EE,2020,4,lowcost,7,50.7,7.242857142857143
EE,2020,4,mainline,1393,8984.50000000001,6.449748743718599
EE,2020,4,other,2287,3410.500000000001,1.4912549191080022
EE,2020,4,regional,392,539.4,1.3760204081632652
EE,2020,5,business,600,183.8,0.30633333333333335
EE,2020,5,cargo,1569,10232.4,6.521606118546845
EE,2020,5,lowcost,284,303.8,1.069718309859155
